userId,meetId,isPending
1,2589,True
1,3207,False
1,1898,False
1,148,False
2,1506,False
2,3803,False
2,1448,False
2,3246,False
2,3814,False
2,879,False
2,3948,False
2,184,False
2,190,False
2,2127,False
2,176,False
2,3518,False
2,2309,False
2,122,False
2,2069,False
2,558,True
2,1324,False
2,3567,False
2,2002,False
2,2123,False
2,974,False
2,2404,False
2,3552,False
2,2788,False
2,3135,False
2,1730,False
2,2963,False
2,2702,False
2,2586,False
2,1471,False
2,3553,False
2,4031,False
2,843,False
2,1761,False
2,1369,False
2,3924,False
2,3403,False
2,2219,False
2,472,False
2,2053,False
2,3347,False
2,1332,False
2,2650,False
2,2411,False
2,1935,False
2,2563,False
2,2894,False
2,3392,False
2,3487,False
2,4149,True
2,1020,False
2,1196,False
2,3256,False
2,259,False
2,733,False
2,1745,False
2,1695,False
2,1019,False
2,411,False
2,564,False
2,3180,False
2,3905,False
2,1547,True
2,835,False
2,2224,False
2,1229,False
2,401,False
2,123,False
2,191,False
2,3231,False
2,752,False
2,73,False
2,2429,False
2,3016,False
2,2322,False
2,4012,False
2,2689,False
2,119,False
2,1598,False
2,2025,True
2,3702,False
2,2784,False
2,4067,False
2,3992,False
2,547,False
2,2737,False
3,3721,False
3,2650,False
3,1181,False
4,885,False
4,1569,False
4,30,False
4,2129,False
4,3686,False
4,3260,False
4,603,False
4,3988,False
4,769,False
4,1800,False
4,974,False
4,1041,False
4,3267,False
4,2003,False
4,2978,False
4,4065,True
4,2541,False
4,1741,False
4,1260,False
4,438,False
4,1442,False
4,3028,False
4,1759,False
4,1407,False
4,2008,False
4,2033,False
4,1669,False
4,3553,False
4,3644,False
4,2289,False
4,3614,False
4,2282,False
4,3825,False
4,4190,False
4,3700,False
4,4091,False
4,246,False
4,2952,False
4,3171,False
4,191,False
4,1236,False
4,3024,False
4,846,False
4,3544,False
4,3812,False
4,951,False
4,807,False
4,3300,False
4,2888,False
4,3966,False
4,1455,False
4,3930,False
4,1773,False
4,4195,False
4,863,False
4,3492,False
4,1088,False
4,3019,False
4,2260,False
4,2753,False
4,370,False
4,2007,False
4,1472,False
4,1126,False
4,4056,False
4,86,False
4,2467,False
4,3959,False
4,2005,False
4,2478,False
4,1012,False
4,2330,False
4,945,False
4,2153,False
4,1509,False
4,3953,False
4,2205,False
4,1130,False
4,3687,False
4,2281,False
4,946,False
4,1863,False
4,597,False
4,176,False
4,2881,False
4,348,False
4,3839,False
4,2508,False
4,1178,False
4,626,False
4,3392,False
4,1854,False
4,3278,False
4,1977,False
4,98,False
4,3203,False
5,1031,False
5,2867,False
5,3956,False
5,258,False
5,1592,False
6,2877,False
6,2948,False
6,2499,False
6,204,False
6,3202,False
7,3595,False
7,3731,False
7,666,False
7,2629,False
7,849,False
8,392,False
8,3068,False
9,2373,False
9,3055,False
9,3083,False
9,3073,False
9,734,False
9,3132,False
10,422,False
10,878,False
10,1174,False
11,1297,False
11,689,False
11,512,False
11,604,False
12,3206,False
12,2353,False
12,2513,False
12,299,False
12,2328,False
12,4174,False
13,1836,False
13,2614,False
13,1229,False
13,1591,False
14,3709,False
14,3131,False
14,1472,False
14,3997,False
14,1282,False
14,2461,False
14,4071,False
14,3689,False
14,3163,False
14,1217,False
14,348,False
14,3248,False
14,1057,False
14,4104,False
14,4101,False
14,2071,False
14,1223,False
14,3457,False
14,2350,False
14,610,False
14,2500,False
14,2505,False
14,249,False
14,542,False
14,4195,False
14,2031,False
14,3809,False
14,2136,False
14,2163,False
14,320,False
14,3974,False
14,3126,False
14,3640,False
14,1254,False
14,2059,False
14,1791,False
14,268,False
14,2474,False
14,2531,False
14,2487,False
14,2148,False
14,4018,False
14,1601,False
14,157,False
14,3250,False
14,1552,False
14,4168,False
14,461,False
14,858,False
14,1581,False
14,294,False
14,229,False
14,2269,False
14,2903,False
14,969,False
14,3187,False
14,3164,False
14,1583,False
14,737,False
14,2213,False
14,2742,False
14,3506,False
14,4182,False
14,2738,False
14,3283,False
14,1007,False
14,2041,False
14,3532,False
14,3572,False
14,3512,False
14,1689,False
14,1927,False
15,4204,False
15,3059,False
15,4098,False
15,1638,False
16,1282,False
16,1964,False
16,2695,False
16,2838,False
16,613,False
16,3231,False
17,203,False
17,3317,False
17,204,False
17,1890,False
17,4000,False
17,2912,False
17,2625,False
17,1373,False
17,110,False
17,587,False
17,4168,False
17,4205,False
17,2855,False
17,3372,False
17,4170,False
17,2635,False
17,2135,False
17,3781,False
17,1572,False
17,1991,False
17,3871,False
17,3306,False
17,3471,False
17,3444,False
17,3882,False
17,4177,False
17,656,False
17,2675,False
17,4136,False
17,1542,False
17,996,False
17,1585,False
17,1422,False
17,1274,False
17,1211,False
17,3505,False
17,1946,False
17,293,False
17,1741,False
17,3542,False
17,2388,False
17,3897,False
17,3783,False
17,1582,False
17,804,False
17,620,False
17,1797,False
17,19,False
17,2372,False
17,3477,False
17,829,False
17,2102,False
17,2864,False
17,1384,False
17,3074,False
17,3537,False
17,472,False
17,449,False
17,3910,False
17,1870,False
17,1595,False
17,1006,False
17,2035,False
17,1497,False
17,1375,False
17,2979,False
17,1068,False
17,1769,False
17,1706,False
17,621,False
17,2620,False
17,1795,False
17,3928,False
17,1961,False
17,3778,False
17,3270,False
17,235,False
17,1734,False
17,1841,False
17,597,False
17,2067,False
17,1978,False
17,3730,False
17,2786,False
17,2869,False
17,2883,False
17,3532,False
17,2412,False
17,896,False
17,2959,False
17,1121,False
17,2692,False
17,3401,False
17,4008,False
17,2696,False
17,2090,False
17,3433,False
17,1840,False
17,3997,False
17,1003,False
19,1101,False
19,2333,False
19,668,False
19,2056,False
20,3111,False
20,3445,False
20,2133,False
21,3489,False
21,549,False
21,3682,False
21,3545,False
21,3163,False
21,981,False
21,3588,False
21,2713,False
21,140,False
21,650,False
21,2390,False
21,72,False
21,1564,False
21,3485,True
21,3028,False
21,1822,False
21,3706,False
21,2241,False
21,2949,False
21,2916,False
21,507,False
21,1212,False
21,800,False
21,1802,False
21,4001,False
21,137,False
21,973,False
21,278,False
21,844,False
21,1899,False
21,1505,False
21,3977,False
21,64,False
21,202,False
21,511,False
21,641,False
21,1325,False
21,526,False
21,3063,False
21,2546,False
21,4157,False
21,179,False
21,1768,False
21,4193,False
21,1242,False
21,18,False
21,3377,False
21,2843,False
21,2778,False
21,3275,False
21,3872,False
21,3939,False
21,2359,False
21,2545,False
21,1881,False
21,651,True
21,4186,False
21,2725,False
21,1973,False
21,1971,False
21,2059,False
21,3230,False
21,1317,False
21,3238,False
21,1256,False
21,2040,False
21,3213,False
21,440,False
21,854,False
21,2753,False
21,3639,False
21,2423,False
21,3417,False
21,24,False
21,1140,False
21,1321,False
21,252,False
21,2668,False
21,2160,False
21,2573,False
21,3628,False
21,1658,False
21,2671,False
21,3793,False
21,2854,False
21,3229,False
21,1502,False
21,820,False
21,640,False
21,853,False
21,1967,False
21,3135,False
22,4084,True
22,345,False
22,3961,False
23,2048,False
23,1219,False
24,142,False
24,4114,False
24,87,False
24,4177,False
24,2236,False
25,783,False
25,3363,False
25,289,False
25,2382,False
25,1211,False
26,1487,False
26,2987,False
