meetId,finalPlaceId,finalTime
1,9,2023-10-27 16:00:00
2,18,2023-04-02 12:45:00
3,20,2023-09-08 13:30:00
4,29,2022-11-30 20:15:00
5,36,2023-08-06 22:00:00
6,46,2022-01-09 18:30:00
7,53,2022-05-30 14:00:00
8,63,2023-08-31 18:45:00
9,65,2023-12-18 08:15:00
10,72,2022-11-28 17:15:00
11,80,2023-08-08 21:15:00
12,89,2022-05-27 13:30:00
14,105,2023-03-07 16:15:00
15,110,2023-09-06 15:30:00
17,120,2024-09-05 19:30:00
18,125,2024-03-01 12:30:00
19,137,2023-03-16 12:45:00
20,142,2024-08-07 13:00:00
21,146,2023-01-31 16:30:00
22,150,2023-05-20 16:45:00
23,157,2024-03-15 16:45:00
24,170,2022-07-18 21:15:00
25,176,2023-02-07 18:00:00
26,176,2023-02-07 18:00:00
27,176,2023-02-07 18:00:00
28,205,2023-01-19 11:30:00
29,212,2022-03-27 18:00:00
30,226,2022-11-15 18:30:00
31,232,2022-10-09 15:15:00
32,240,2023-05-24 15:45:00
34,253,2024-09-20 13:45:00
35,258,2023-10-20 16:45:00
36,266,2022-07-13 18:15:00
37,266,2022-07-13 18:15:00
38,284,2024-08-27 20:30:00
39,284,2024-08-27 20:30:00
41,314,2022-05-15 18:30:00
42,316,2023-05-19 09:30:00
43,323,2022-06-26 13:30:00
44,328,2022-07-18 14:00:00
45,332,2024-07-13 15:15:00
46,342,2022-11-30 21:45:00
47,349,2023-08-26 13:30:00
48,358,2023-03-09 12:30:00
50,358,2023-03-09 12:30:00
51,384,2023-08-24 12:45:00
52,384,2023-08-24 12:45:00
53,396,2023-10-18 12:00:00
54,404,2022-09-17 20:45:00
55,412,2024-05-29 18:30:00
56,415,2022-06-23 14:30:00
57,420,2024-05-21 11:45:00
58,424,2022-07-04 18:30:00
59,433,2022-10-26 14:30:00
60,446,2024-05-07 17:30:00
61,453,2022-11-20 13:30:00
62,461,2022-12-21 12:45:00
63,470,2022-08-03 19:30:00
64,473,2024-09-05 14:15:00
65,479,2023-10-25 16:00:00
66,479,2023-10-25 16:00:00
67,489,2022-09-06 18:30:00
68,502,2022-03-30 19:45:00
69,509,2022-09-06 13:00:00
70,524,2023-01-14 15:30:00
71,528,2024-08-16 18:45:00
72,532,2024-01-23 16:00:00
73,549,2022-04-29 17:15:00
74,549,2022-04-29 17:15:00
75,559,2022-09-07 11:00:00
76,569,2023-11-05 17:00:00
77,575,2023-11-14 10:30:00
78,582,2022-05-17 14:15:00
79,582,2022-05-17 14:15:00
80,595,2024-02-08 14:15:00
81,605,2023-11-18 14:15:00
82,613,2022-07-29 12:45:00
83,618,2024-10-23 15:45:00
84,619,2023-02-20 11:45:00
85,627,2024-03-11 22:00:00
86,636,2024-08-25 11:15:00
87,647,2022-09-04 19:30:00
88,652,2023-12-25 09:45:00
89,659,2022-04-21 12:30:00
90,661,2022-09-24 09:15:00
91,666,2022-11-07 20:15:00
92,681,2022-01-22 19:15:00
93,689,2022-05-03 14:45:00
94,690,2024-10-22 21:15:00
95,700,2022-02-25 17:45:00
96,709,2023-08-04 16:30:00
97,718,2024-08-14 19:15:00
98,729,2024-02-24 13:30:00
99,732,2022-04-23 20:45:00
100,742,2023-11-13 15:15:00
101,750,2023-03-18 11:15:00
102,750,2023-03-18 11:15:00
103,760,2023-07-07 17:45:00
104,771,2024-10-15 17:30:00
105,779,2024-09-18 10:30:00
106,783,2024-06-21 15:15:00
107,788,2022-04-29 11:30:00
108,794,2024-08-21 14:30:00
109,805,2023-05-08 13:45:00
110,812,2023-10-22 11:30:00
111,822,2022-02-07 17:15:00
112,826,2022-11-13 20:30:00
113,826,2022-11-13 20:30:00
114,843,2024-08-16 19:30:00
115,845,2022-12-01 13:30:00
116,859,2023-09-11 16:00:00
118,873,2024-06-30 12:15:00
119,881,2024-01-25 17:00:00
120,888,2024-07-03 20:45:00
121,895,2022-06-11 18:00:00
123,909,2022-07-17 18:15:00
124,917,2023-03-30 16:15:00
125,924,2023-11-21 21:15:00
126,927,2023-03-25 13:15:00
127,940,2022-05-17 18:15:00
128,943,2024-01-31 12:45:00
129,952,2023-08-22 18:45:00
130,961,2022-07-29 18:45:00
131,968,2024-03-20 14:15:00
132,972,2022-06-17 10:15:00
133,976,2022-08-26 15:15:00
134,984,2023-06-06 09:15:00
135,988,2023-09-20 12:00:00
136,988,2023-09-20 12:00:00
137,1004,2022-05-13 16:30:00
138,1019,2022-12-08 12:15:00
139,1021,2023-12-12 13:45:00
140,1037,2022-11-20 21:00:00
141,1040,2022-03-06 19:15:00
